PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37108074","Dual-Stimuli-Sensitive Smart Hydrogels Containing Magnetic Nanoparticles as Antitumor Local Drug Delivery Systems-Synthesis and Characterization","Kasiński A, Świerczek A, Zielińska-Pisklak M, Kowalczyk S, Plichta A, Zgadzaj A, Oledzka E, Sobczak M.","Int J Mol Sci. 2023 Apr 7;24(8):6906. doi: 10.3390/ijms24086906.","Kasiński A","Int J Mol Sci","2023","2023/04/28","PMC10138940","","10.3390/ijms24086906"
"35409025","Smart Hydrogels for Advanced Drug Delivery Systems","Bordbar-Khiabani A, Gasik M.","Int J Mol Sci. 2022 Mar 27;23(7):3665. doi: 10.3390/ijms23073665.","Bordbar-Khiabani A","Int J Mol Sci","2022","2022/04/12","PMC8998863","","10.3390/ijms23073665"
"35725166","Magnetic-responsive polysaccharide hydrogels as smart biomaterials: Synthesis, properties, and biomedical applications","Fragal EH, Fragal VH, Silva EP, Paulino AT, da Silva Filho EC, Mauricio MR, Silva R, Rubira AF, Muniz EC.","Carbohydr Polym. 2022 Sep 15;292:119665. doi: 10.1016/j.carbpol.2022.119665. Epub 2022 May 27.","Fragal EH","Carbohydr Polym","2022","2022/06/20","","","10.1016/j.carbpol.2022.119665"
"38155469","Nanocomposite Hydrogels-A Promising Approach towards Enhanced Bioavailability and Controlled Drug Delivery","Shahid N, Erum A, Hanif S, Malik NS, Tulain UR, Syed MA.","Curr Pharm Des. 2024;30(1):48-62. doi: 10.2174/0113816128283466231219071151.","Shahid N","Curr Pharm Des","2024","2023/12/29","","","10.2174/0113816128283466231219071151"
"34830145","Novel Chitosan-Silica Hybrid Hydrogels for Cell Encapsulation and Drug Delivery","Jayash SN, Cooper PR, Shelton RM, Kuehne SA, Poologasundarampillai G.","Int J Mol Sci. 2021 Nov 12;22(22):12267. doi: 10.3390/ijms222212267.","Jayash SN","Int J Mol Sci","2021","2021/11/27","PMC8624171","","10.3390/ijms222212267"
"37816152","Injectable On-Demand Pulsatile Drug Delivery Hydrogels Using Alternating Magnetic Field-Triggered Polymer Glass Transitions","Campbell S, Preciado Rivera N, Said S, Lam A, Weir L, Gour J, Smeets NMB, Hoare T.","ACS Appl Mater Interfaces. 2023 Oct 25;15(42):48892-48902. doi: 10.1021/acsami.3c09299. Epub 2023 Oct 10.","Campbell S","ACS Appl Mater Interfaces","2023","2023/10/10","","","10.1021/acsami.3c09299"
"35153022","Preparation, properties and drug controlled release of chitin-based hydrogels: An updated review","Liao J, Hou B, Huang H.","Carbohydr Polym. 2022 May 1;283:119177. doi: 10.1016/j.carbpol.2022.119177. Epub 2022 Jan 24.","Liao J","Carbohydr Polym","2022","2022/02/14","","","10.1016/j.carbpol.2022.119177"
"37052256","Poly Ethylene Glycol (PEG)-Based Hydrogels for Drug Delivery in Cancer Therapy: A Comprehensive Review","Wang Z, Ye Q, Yu S, Akhavan B.","Adv Healthc Mater. 2023 Jul;12(18):e2300105. doi: 10.1002/adhm.202300105. Epub 2023 May 1.","Wang Z","Adv Healthc Mater","2023","2023/04/13","PMC11468892","","10.1002/adhm.202300105"
"38011585","Advances in Stimuli-Responsive Chitosan Hydrogels for Drug Delivery Systems","Xia Y, Ma Z, Wu X, Wei H, Zhang H, Li G, Qian Y, Shahriari-Khalaji M, Hou K, Cao R, Zhu M.","Macromol Biosci. 2024 May;24(5):e2300399. doi: 10.1002/mabi.202300399. Epub 2023 Dec 10.","Xia Y","Macromol Biosci","2024","2023/11/27","","","10.1002/mabi.202300399"
"32543834","Review on Magnetic Natural Polymer Constructed Hydrogels as Vehicles for Drug Delivery","Liao J, Huang H.","Biomacromolecules. 2020 Jul 13;21(7):2574-2594. doi: 10.1021/acs.biomac.0c00566. Epub 2020 Jun 28.","Liao J","Biomacromolecules","2020","2020/06/17","","","10.1021/acs.biomac.0c00566"
"34342981","Capturing Magnesium Ions via Microfluidic Hydrogel Microspheres for Promoting Cancellous Bone Regeneration","Zhao Z, Li G, Ruan H, Chen K, Cai Z, Lu G, Li R, Deng L, Cai M, Cui W.","ACS Nano. 2021 Aug 24;15(8):13041-13054. doi: 10.1021/acsnano.1c02147. Epub 2021 Aug 3.","Zhao Z","ACS Nano","2021","2021/08/03","","","10.1021/acsnano.1c02147"
"33781811","Engineered nanocellulose-based hydrogels for smart drug delivery applications","Liu S, Qamar SA, Qamar M, Basharat K, Bilal M.","Int J Biol Macromol. 2021 Jun 30;181:275-290. doi: 10.1016/j.ijbiomac.2021.03.147. Epub 2021 Mar 26.","Liu S","Int J Biol Macromol","2021","2021/03/30","","","10.1016/j.ijbiomac.2021.03.147"
"30813049","Biodegradable and injectable hydrogels as an immunosuppressive drug delivery system","Kim HS, Yang J, Kim K, Shin US.","Mater Sci Eng C Mater Biol Appl. 2019 May;98:472-481. doi: 10.1016/j.msec.2018.11.051. Epub 2019 Jan 4.","Kim HS","Mater Sci Eng C Mater Biol Appl","2019","2019/03/01","","","10.1016/j.msec.2018.11.051"
